libelle,domain_libelle
JavaScript,Développement Web
React,Développement Web
Node.js,Développement Web
Vue,Développement Web
Angular,Développement Web
Python,Data Science
TensorFlow,Data Science
PyTorch,Data Science
Scikit-learn,Data Science
Pandas,Data Science
Figma,Design UI/UX
Adobe XD,Design UI/UX
Flutter,Mobile Development
React Native,Mobile Development
Swift,Mobile Development
Kotlin,Mobile Development
Docker,DevOps
Kubernetes,DevOps
Terraform,DevOps
AWS,Cloud Computing
Azure,Cloud Computing
GCP,Cloud Computing
Metasploit,Cybersecurity
Wireshark,Cybersecurity
Solidity,Blockchain
OpenAI API,Intelligence Artificielle
Kafka,Big Data
Spark,Big Data
Hadoop,Big Data
