project_title,tech_libelle
Plateforme IA,Python
Plateforme IA,TensorFlow
Plateforme IA,OpenAI API
App Mobile Fitness,Flutter
App Mobile Fitness,React Native
App Mobile Fitness,Swift
Dashboard Analytics,Python
Dashboard Analytics,Pandas
Dashboard Analytics,Scikit-learn
Dashboard Analytics,Tableau
Site E-commerce,JavaScript
Site E-commerce,React
Site E-commerce,Node.js
Site E-commerce,Angular
Jeu Vidéo 2D,Unity
Jeu Vidéo 2D,C#
Jeu Vidéo 2D,Unreal Engine
Application Santé,Python
Application Santé,React Native
Application Santé,Flutter
Automatisation DevOps,Docker
Automatisation DevOps,Kubernetes
Automatisation DevOps,Terraform
Automatisation DevOps,Prometheus
Portfolio Designer,Figma
Portfolio Designer,Adobe XD
Portfolio Designer,React
Portfolio Designer,JavaScript
Blockchain SupplyChain,Solidity
Blockchain SupplyChain,Python
Blockchain SupplyChain,Blockchain
Analyse Big Data,Spark
Analyse Big Data,Hadoop
Analyse Big Data,Kafka
Analyse Big Data,Python
